Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3018296,-,-,-,39.1,-94.59,0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Dew Point,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,0,0,5.9,5.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,1,0,5.5,5.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,2,0,5.2,5.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,3,0,4.9,4.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,4,0,4.1,4.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,5,0,3.7,3.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,6,0,3.7,3.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,7,0,3.4,3.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,8,0,3.1,3.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,9,0,3,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,10,0,2.6,2.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,11,0,2.2,2.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,12,0,2,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,13,0,1.9,1.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,14,0,2.4,2.1,98.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,15,0,3.4,2.6,94.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,16,0,5.2,3.7,89.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,17,0,8.3,5.2,81.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,18,0,11,6.4,73.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,19,0,12.7,7.2,69.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,20,0,13.5,7.9,68.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,21,0,12.5,8.5,76.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,22,0,8.9,7.7,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,23,0,6.5,6.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,0,0,6.5,6.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,1,0,6.6,6.6,99.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,2,0,6.3,6.2,99.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,3,0,6,5.9,99.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,4,0,5.7,5.7,99.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,5,0,5.4,5.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,6,0,5.1,5.1,99.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,7,0,4.7,4.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,8,0,4.6,4.5,99.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,9,0,4.4,4.3,99.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,10,0,4.2,4,98.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,11,0,4.1,3.9,98.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,12,0,4,3.8,98.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,13,0,3.8,3.6,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,14,0,4.1,3.7,97.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,15,0,4.9,4.3,95.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,16,0,6.1,5.3,94.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,17,0,7.7,6.6,92.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,18,0,9.5,8.2,91.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,19,0,11.2,9.9,91.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,20,0,12,11,93.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,21,0,11.1,11.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,22,0,10.9,10.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,2,23,0,11,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,0,0,9.7,9.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,1,0,9.4,9.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,2,0,9.8,9.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,3,0,10,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,4,0,10,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,5,0,9.5,9.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,6,0,9.4,9.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,7,0,8.9,8.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,8,0,7.9,7.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,9,0,6.9,6.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,10,0,6.3,6.3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,11,0,5.2,5.1,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,12,0,4.5,4.3,98.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,13,0,4.3,4,97.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,14,0,4.7,4,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,15,0,5.4,3.7,89.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,16,0,6,2.6,79.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,17,0,6.9,1.2,67.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,18,0,7.1,-0.4,58.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,19,0,6.5,-1.3,57.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,20,0,5.3,-1.5,61.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,21,0,4.1,-1.8,65.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,22,0,2.9,-2.1,69.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,3,23,0,1.7,-2.5,73.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,0,0,0.8,-3,75.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,1,0,-0.1,-3.4,78.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,2,0,-0.7,-3.7,80.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,3,0,-1.1,-4,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,4,0,-1.1,-4.5,77.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,5,0,-1.4,-4.7,78.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,6,0,-1.6,-4.7,79.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,7,0,-1.6,-4.5,80.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,8,0,-1.6,-4.2,82.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,9,0,-1.5,-3.7,84.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,10,0,-1.4,-3.4,86.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,11,0,-1.4,-3.3,87.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,12,0,-1.7,-3.3,88.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,13,0,-1.9,-3.4,89.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,14,0,-1,-3.3,84.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,15,0,0.8,-3.6,72.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,16,0,2.7,-3.9,61.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,17,0,4.3,-3.9,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,18,0,5.4,-4,50.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,19,0,6,-4.2,47.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,20,0,6,-4.5,46.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,21,0,5.5,-4.6,48.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,22,0,3.6,-4.1,56.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,4,23,0,1.9,-3.9,65.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,5,0,0,1.5,-3.7,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
